ID	TITULO	LINK-URL	THUMB
1	COMECOU! O inicio da batalha de Yoh! #ShamanKing (2021) [Review episódios 1 e 2]	https://youtu.be/Yx5mGe6Oi50	https://img.youtube.com/vi/Yx5mGe6Oi50/hqdefault.jpg
2	O PAU COMEU! Chegou Lee Payron! #ShamanKing 2021 [Review episódio 3]	https://youtu.be/nvH_a5pJbBg	https://img.youtube.com/vi/nvH_a5pJbBg/hqdefault.jpg
3	O MELHOR ANIME MUSICAL? Muito punk, lagrimas e corações partidos #NANA! [INDICAÇÃO]	https://youtu.be/PazNAq5vDUc	https://img.youtube.com/vi/PazNAq5vDUc/hqdefault.jpg
4	POSUIDO!? Ryu Shaman? #ShamanKing​ (2021) [Review episódio 4]	https://youtu.be/7rC2ZVttH3I	https://img.youtube.com/vi/7rC2ZVttH3I/hqdefault.jpg
5	O MELHOR COZINHEIRO DOS ANIMES #THEWAYOFTHEHOUSEHUSBAND!	https://youtu.be/aOZ7aZcViDU	https://img.youtube.com/vi/aOZ7aZcViDU/hqdefault.jpg
6	Confirmado! O despertar de um Novo Poder, FURYOKU!!! [SHAMAN KING 2021]	https://youtu.be/ub7rDjMvxXQ	https://img.youtube.com/vi/ub7rDjMvxXQ/hqdefault.jpg
7	#YASUKE , FOI UMA DECEPÇÃO!!? CHEGOU O NOVO ANIME (NETFLIX)	https://youtu.be/cRrYgU6bT7c	https://img.youtube.com/vi/cRrYgU6bT7c/hqdefault.jpg
8	CHEGOU O FRIO! AQUELE QUE DEFENDE A NATUREZA #ShamanKing2021	https://youtu.be/sRmOT14wwuo	https://img.youtube.com/vi/sRmOT14wwuo/hqdefault.jpg
9	AMARGO GOSTO DA PRIMEIRA DERROTA DE YOH! SHAMAN KING 2021	https://youtu.be/qVHiWMqQAvk	https://img.youtube.com/vi/qVHiWMqQAvk/hqdefault.jpg
10	MELHORES ABERTURAS DE ANIMES EM (PT-BR)	https://youtu.be/V-Ov4krKa6U	https://img.youtube.com/vi/V-Ov4krKa6U/hqdefault.jpg
11	PONTE E CONTE FIEIS! #shamanking episodio 8	https://youtu.be/t99wiKje_Cg	https://img.youtube.com/vi/t99wiKje_Cg/hqdefault.jpg
12	#tokyorevengers efeito borboleta 🦋 em anime!	https://youtu.be/4qFIScHdtXY	https://img.youtube.com/vi/4qFIScHdtXY/hqdefault.jpg
13	REACT - RAP DOS HOKAGES 7MZ	https://youtu.be/uunwlYJyK6c	https://img.youtube.com/vi/uunwlYJyK6c/hqdefault.jpg
14	#TOP10 ANIMES #OLIMPICOS	https://youtu.be/f3TOl7u0Ae8	https://img.youtube.com/vi/f3TOl7u0Ae8/hqdefault.jpg
15	REACT Abertura #Cowboybebop #NETFLIX	https://youtu.be/x69CZ_k8RhQ	https://img.youtube.com/vi/x69CZ_k8RhQ/hqdefault.jpg
16	OS CINCOS PILARES DOS #ANIMES	https://youtu.be/-QSnw97dQrI	https://img.youtube.com/vi/-QSnw97dQrI/hqdefault.jpg
17	BOMBA! JÁ TEMOS , PIRATAS DE CARNE E OSSO! NETFLIX REVELA ELENCO DE ONE PIECE	https://youtu.be/HABq_iRMFVQ	https://img.youtube.com/vi/HABq_iRMFVQ/hqdefault.jpg
18	#ANIMES ... QUAIS SÃO OS PRINCIPAIS TIPOS!??	https://youtu.be/sREOz8EqwWc	https://img.youtube.com/vi/sREOz8EqwWc/hqdefault.jpg
19	QUER A PAZ QUE O INIMIGO DESTRÓI - #FLY ESTA DE VOLTA (DainoDaibouken)	https://youtu.be/4UkmE231Q_k	https://img.youtube.com/vi/4UkmE231Q_k/hqdefault.jpg
20	OBRIGADO !!!! PRIMEIRO ANO DE ANIME NO DIO... DECLARAÇÃO DE AMOR AO MUNDO OTAKU!	https://youtu.be/nCGpilqOLgs	https://img.youtube.com/vi/nCGpilqOLgs/hqdefault.jpg
21	QUEM É #TITEKUBO A MENTE POR TRÁS DA OBRA , #BLEACH	https://youtu.be/_aSPSqGY6N0	https://img.youtube.com/vi/_aSPSqGY6N0/hqdefault.jpg
22	QUEM É #NAOKOTAKEUCHI A MENTE CRIADORA DE #SAILORMOON	https://youtu.be/TsSppUNx3WQ	https://img.youtube.com/vi/TsSppUNx3WQ/hqdefault.jpg
23	#SAINTSEIYA, UM POUCO SOBRE #MASAMIKURUMADA O PRIMEIRO DEFENSOR DE ATHENA.	https://youtu.be/LLhq1XWdpp0	https://img.youtube.com/vi/LLhq1XWdpp0/hqdefault.jpg
24	#MAGICTHEGATHERING : REACT DO ANIME  #KAMIGAWANEONDYNASTY,  NOVA COLEÇÃO DO JOGO!	https://youtu.be/xJAYXrO3Mik	https://img.youtube.com/vi/xJAYXrO3Mik/hqdefault.jpg
25	JOY BOY!!! #ONEPIECE PERDEU A GRAÇA? Finalmente é revelado quem é o garoto escolhido!	https://youtu.be/DE4dZ1-FXFw	https://img.youtube.com/vi/DE4dZ1-FXFw/hqdefault.jpg
26			
